Month,Sex,TL/cm,SL/cm,BW/g,GW/g
Apr,M,11.2,8.3,27.27,0.01
Apr,M,12.5,9.4,36.95,0.01
Apr,M,12.9,9.6,40.77,0.01
Apr,M,11.6,9,34.45,0.01
Apr,M,13.6,10.1,43.7,0.02
Apr,M,12.8,9.9,44.62,0.02
Apr,M,14.5,11.1,48.06,0.02
Apr,M,13.4,10.11,44.89,0.02
Apr,M,12.4,9.5,35.09,0.01
Apr,M,12.9,9.7,39.97,0.01
May,F,18.4,14.3,103.58,0.31
May,F,15.9,12.3,69.2,0.52
May,F,14.9,11.5,53.97,0.2
May,F,15,12.3,70.14,0.04
May,F,14.7,11.2,57.88,0.11
May,F,13.9,10.8,53.98,0.12
May,F,15.3,11.6,61.73,0.16
May,F,15.4,11.9,63.41,0.02
May,F,16.6,13.2,92.43,0.49
May,F,15.2,11.8,59.45,0.24
May,F,19.2,15,118.65,3.24
May,F,13.5,10.5,40.26,0.16
May,F,14.7,11.2,59.23,0.13
May,F,12,9,29.11,0.09
May,F,13.2,10.4,44.77,0.08
May,F,17.2,13.5,92,0.72
May,F,14.7,11.4,56.36,0.15
May,F,17.5,13.4,88.5,0.27
May,F,14,10.5,46.69,0.08
May,F,14.9,11.4,55.07,0.13
May,F,19.5,14.3,118.34,0.4
May,F,14.6,11.4,55.99,0.2
May,F,12.1,9,30.86,0.06
May,F,16.6,13,95.77,0.43
May,F,14.5,11.1,53.05,0.3
May,F,16.2,12.4,87.38,0.24
May,F,16.6,12.7,78.93,0.14
May,F,13.4,10.2,45.5,0.06
May,F,14.1,11.1,50.62,0.13
May,F,16.3,12.4,75.6,0.12
May,F,12.5,9.5,34.35,0.04
May,F,14.3,11.2,54.78,0.2
May,F,15.2,11.9,67.29,0.15
May,F,14.2,10.9,45.97,0.16
May,F,16,12.4,74.4,0.26
May,F,14.2,9.5,55.02,0.09
May,F,12.8,10,31.74,0.23
May,F,16.9,13.2,90.45,0.4
May,F,22.2,17.2,182.62,1.08
May,F,14.2,11.2,49.7,0.06
May,F,13.4,10.4,41.66,0.15
May,F,15.9,12.2,68.24,0.3
May,F,14.7,11.4,60.07,0.12
May,F,12.8,10.1,34.13,0.04
May,F,13.4,10.5,43.67,0.03
May,F,13.6,10.5,45.09,0.09
May,M,19.6,15.3,113.22,0.02
May,M,16.4,12.5,67.21,0.1
May,M,18.3,13.9,90.7,0.02
May,M,14.3,11.1,45.2,0.02
May,M,13.7,10.4,40.07,0.02
May,M,14.7,11.2,59.92,0.02
May,M,15.3,11.9,63.36,0.01
May,M,15,11.6,60.27,0.02
May,M,14.8,11.5,49.51,0.02
May,M,13.9,10.8,44.21,0.02
May,M,16.9,12.7,79.9,0.01
May,M,18.1,14.1,91.68,0.05
May,M,16,12.5,70.59,0.01
May,M,18.6,14.4,107.8,0.03
May,M,16.1,12.5,73.5,0.01
May,M,15.4,12.1,63.37,0.01
May,M,15.2,11.5,56.48,0.01
May,M,16.7,12.9,78.02,0.02
May,M,18.6,14.1,104.65,0.02
May,M,14.4,11.1,55.48,0.01
May,M,14.7,11.2,58.5,0.02
May,M,13.7,11.5,45.92,0.01
May,M,14.7,11.2,49.25,0.01
May,M,16.2,12.1,74.11,0.01
May,M,13.5,10.4,41.66,0.01
May,M,17.5,13.5,92.7,0.02
May,M,14,10.8,48.87,0.01
May,M,14.6,11.1,49.5,0.01
May,M,14.4,11.2,55.37,0.01
May,M,14.5,11,52.94,0.01
May,M,14.4,11.2,54.24,0.02
May,M,16.1,12.6,73.92,0.05
May,M,15.8,12.2,64.78,0.02
May,M,14.1,11,55.75,0.01
May,M,12,9.5,30.1,0.01
May,M,13.2,10.1,42.31,0.08
May,M,16,12.5,68.85,0.02
May,M,14.7,11.4,57.2,0.02
May,M,13.8,10.6,48.16,0.01
May,M,11.4,8.8,24.34,0.02
May,M,15.2,11.9,66.89,0.02
May,M,14.3,10.9,53.79,0.02
May,M,17.3,13.3,82.18,0.02
May,M,19.6,14.9,106.54,0.02
May,M,17.1,13.2,89,0.02
May,M,13.5,10.4,42.34,0.01
May,M,17,12.7,80.62,0.02
May,M,13.6,10.6,51.57,0.02
Jun,M,12.7,9.6,30.93,0.01
Jun,F,20.4,16.1,142.9,0.8
Jun,F,20.2,15.4,151.6,0.3
Jun,F,18.09,14.5,121.8,0.6
Jun,F,17.2,13.2,90.4,0.3
Jun,F,15.9,12.5,80,0.3
Jun,F,18.4,14,117.6,0.7
Jun,F,18,13.3,104.5,1.4
Jun,F,17.8,13.9,97.6,0.3
Jun,F,16.1,12.4,80.1,0.3
Jun,F,12.7,16.1,154.8,0.5
Jun,F,17.5,13.4,95,0.02
Jun,F,19.7,15.4,134.6,0.6
Jun,F,16.7,13,82.1,1
Jun,F,21.8,16.4,158.4,0.3
Jun,F,16.8,12.8,91,0.9
Jun,F,15.2,12.2,144.3,0.4
Jun,F,16.1,12.5,80.3,0.4
Jun,F,19.3,14.9,131,0.4
Jun,F,17.5,13.7,100.7,0.1
Jun,F,16.2,12.5,68.3,0.5
Jun,F,18.4,14,112.5,0.3
Jun,F,15.9,12.3,75.1,0.3
Jun,F,17.1,13.2,87.7,0.3
Jun,F,15.6,11.8,70.7,0.7
Jun,F,16.4,12.6,78.3,0.3
Jun,F,12.9,9.8,42.5,0.1
Jun,M,20.7,16.2,167.2,0.02
Jun,M,19.8,15,129,0.01
Jun,M,16.5,12.5,88.7,0.02
Jun,M,15.8,12.1,74,0.02
Jun,M,17.6,13.5,95.2,0.02
Jun,M,17.9,13.6,98.7,0.02
Jun,M,16.5,12.5,87,0.02
Jun,M,18.8,14.9,123.2,0.02
Jun,M,16.4,12.6,83.5,0.2
Jun,M,18.9,14.4,114.8,0.02
Jun,M,19.8,15.2,137.4,0.02
Jun,M,18.7,13.9,111.4,0.02
Jun,M,18.3,13.8,109.4,0.02
Jun,M,17.1,14.1,105.3,0.02
Jun,M,16.4,12.5,85.1,0.01
Jun,M,15.2,11.4,63.1,0.02
Jun,M,16.2,12.1,72.3,0.02
Jun,M,16.6,12.5,82.7,0.02
Jun,M,19.2,14.9,115.2,0.03
Jun,M,17.4,13.5,91.6,0.02
Jun,M,17.4,13.8,91,0.02
Jun,M,16.4,12.6,90.1,0.02
Jun,M,16.3,12.5,63.8,0.02
Jun,M,15.2,11.4,67,0.02
Jun,M,18.7,14,116.8,0.02
Jun,M,18.7,14.5,101.3,0.02
Jun,M,14.4,19,114.5,0.3
Jul,M,16.7,13,76.95,0.07
Jul,M,14.2,11,51.5,0.02
Jul,M,19.8,15.1,131.86,0.14
Jul,M,16.5,12.9,86.96,0.05
Jul,M,14.2,11,52.53,0.02
Jul,M,16.5,12.6,83.76,0.02
Jul,M,13.6,10.4,47.94,0.02
Jul,M,18.4,14,112.7,0.04
Jul,M,12.9,9.8,41.81,0.02
Jul,M,13.2,9.09,44.64,0.02
Jul,M,16.2,12.6,79.93,0.1
Jul,M,12.4,9.5,34.41,0.02
Jul,M,15.8,12.2,73.24,0.02
Jul,M,10.9,8.4,28.7,0.02
Jul,M,12.4,9.6,37.67,0.04
Jul,M,14.9,11.4,66.15,0.04
Jul,M,11.9,9,33.15,0.02
Jul,M,15.8,12.1,70.42,0.03
Jul,M,13.5,10,48.48,0.03
Jul,M,13.7,10.5,49.62,0.02
Jul,M,13.9,10.6,47.41,0.02
Jul,M,11.4,8.5,28.21,0.01
Jul,M,12.2,9.4,29.24,0.01
Jul,F,14.6,11.5,54.92,0.18
Jul,F,19.4,14.8,138.47,1.07
Jul,F,19.1,14.4,113.36,2.56
Jul,F,14.2,11.5,55.74,0.53
Jul,F,15,11.4,66.44,5.29
Jul,F,14.3,11.1,60.11,0.16
Jul,F,14.6,11.2,58.36,1.09
Jul,F,12.5,9.5,36.84,0.29
Jul,F,14,10.6,53.59,0.21
Jul,F,15.2,11.5,46.35,0.67
Jul,F,13.4,10.4,46.35,0.31
Jul,F,13.3,10.2,44.42,2.41
Jul,F,12.9,9.9,41.15,0.12
Jul,F,14.9,11.5,66.6,0.21
Jul,F,12.5,9.6,34.86,0.16
Jul,F,13.4,10.1,42.52,0.12
Jul,F,20.2,15.5,127.31,0.43
Jul,F,14.9,12.1,71.73,0.91
Jul,F,17.5,13.5,96.7,7.09
Jul,F,12.4,9.5,36.44,0.06
Jul,F,14.8,11.2,57.29,0.41
Jul,F,13.1,10.2,44.24,0.11
Jul,F,12.9,10,42.16,0.32
Jul,F,13.7,10.5,53.83,0.24
Jul,F,12.5,9.4,34.66,0.09
Jul,F,11.9,9.1,29.04,0.17
Jul,F,14.5,11.5,55.8,0.33
Aug,M,15.4,12,72.73,0.03
Aug,F,16.5,12.4,72.22,1.93
Aug,M,20.3,15.2,147.15,0.09
Aug,F,15.9,12.4,67.38,2.11
Aug,M,20.6,15.5,152.3,0.11
Aug,F,18.7,14.1,89.82,0.18
Aug,M,13.6,10.1,42.11,0.02
Aug,M,14.8,11.6,57.5,0.04
Aug,M,15.7,12,67.2,0.03
Aug,F,10.9,8.5,26.63,0.1
Aug,F,14.4,11,54.48,3.67
Aug,F,13.4,10.1,45.11,0.16
Aug,M,17,13.1,87.92,0.02
Aug,M,14.2,10.9,50.19,0.02
Aug,M,17.2,13.2,91.99,0.06
Aug,M,17.1,13.9,98.74,0.06
Aug,F,17.1,12.9,82.95,0.03
Aug,M,15.1,11.2,55.5,0.05
Aug,M,18.8,14.5,99.66,0.03
Aug,M,17.4,13.4,94.83,0.06
Aug,M,15.4,11.9,66.47,0.02
Aug,M,16.2,12.5,74.05,0.02
Aug,M,11.7,9.1,31.33,0.1
Aug,M,15.9,12.2,70.83,0.02
Aug,M,16.3,12.4,74.29,0.04
Aug,M,12.2,9.5,33.28,0.03
Aug,F,13.4,10.2,39.33,0.36
Aug,F,15.3,11.6,62.74,1.29
Aug,F,18.2,14.2,120.7,1.03
Aug,M,12.6,9.6,35.51,0.02
Aug,M,15.1,10.3,53.7,0.02
Aug,M,14.5,11.2,55.09,0.06
Aug,M,15.3,11.9,60.1,0.03
Aug,M,15.4,11.7,66.46,0.01
Aug,M,18.9,14.2,107.81,0.09
Aug,M,14.1,10.9,48.62,0.02
Aug,M,15.9,11.9,73.77,0.05
Aug,M,15.4,11.5,62.74,0.09
Aug,M,19.6,14.4,125.2,0.05
Aug,F,12.9,10,41.34,0.43
Aug,M,18.7,14,104.78,0.05
Aug,F,16.2,12.6,44.22,0.21
Aug,F,13.1,10.1,45.3,0.08
Aug,M,15.9,12.4,62.25,0.12
Aug,M,11.9,9.2,33.57,0.01
Aug,M,16.9,12.8,75.12,0.02
Aug,F,12.9,10,37.14,0.11
Aug,F,12.1,9.2,34.92,0.09
Aug,F,17,13.2,74.39,0.44
Aug,M,14.5,11,59.84,0.01
Aug,M,14.9,11.5,55.27,0.02
Aug,M,12,9,23.67,0.01
Aug,M,11.4,8.6,25.96,0.01
Aug,M,12.1,9.5,25.36,0.01
Aug,F,15.8,12.4,74.1,1.3
Aug,M,12.9,9.6,34.36,0.02
Aug,M,11.8,9.2,24.95,0.02
Aug,F,15.2,11.4,58.89,0.21
Sept,F,19.1,14.5,119.21,1.58
Sept,F,21.2,15.9,168.56,7.17
Sept,F,17.7,13.5,103.24,0.44
Sept,F,16.5,12.4,82.54,0.27
Sept,F,16,12.4,83.7,4.67
Sept,F,15.6,11.6,69.88,0.12
Sept,F,14.6,10.8,63.12,0.21
Sept,F,16,12.2,82.18,0.32
Sept,F,15.4,11.9,67.73,0.21
Sept,F,14.2,10.8,51.75,0.16
Sept,F,15,11.2,67.93,0.29
Sept,F,13.7,10.4,48.98,0.11
Sept,F,15.5,11.9,66.16,0.21
Sept,F,13.2,10,48.05,0.1
Sept,F,13,9.6,46.12,0.18
Sept,F,11.5,8.8,31.63,0.04
Sept,F,12.5,9.4,35.47,0.05
Sept,F,13.1,9.8,41.76,0.59
Sept,F,12.8,9.6,33.72,0.07
Sept,F,15.1,11.4,50.32,0.28
Sept,F,13.5,10.5,49.7,0.33
Sept,F,12.3,9.4,37.48,0.08
Sept,F,14.4,10.8,61,0.14
Sept,F,11.6,9,29.98,0.01
Sept,F,12.9,10.2,40.21,0.06
Sept,F,14.4,10.9,53.86,0.22
Sept,F,13.1,9.9,43.16,0.1
Sept,M,23.6,18.1,229.01,0.18
Sept,M,20,15.1,135.23,0.02
Sept,M,19,14.5,130.58,0.07
Sept,M,19.6,14.8,132.2,0.04
Sept,M,20,14.9,137.35,0.05
Sept,M,19.6,14.5,107.4,0.03
Sept,M,18.8,14.4,113.68,0.09
Sept,M,16.1,12.4,81.69,0.04
Sept,M,15.8,12.2,75.69,0.03
Sept,M,16.4,12.5,78.67,0.04
Sept,M,16.1,12.1,83.75,0.04
Sept,M,16.3,12.5,84.23,0.08
Sept,M,15.4,11.9,69.78,0.07
Sept,M,15.1,11.4,63,0.02
Sept,M,14.4,10.9,53.87,0.02
Sept,M,14.9,12.1,51.79,0.02
Sept,M,11.9,8.9,29.71,0.02
Sept,M,13.7,10.4,47.02,0.02
Sept,M,11.3,8.5,28.27,0.02
Sept,M,13.5,10.3,46.34,0.02
Sept,M,10.8,8.7,27.21,0.07
Sept,M,14.7,11.5,59.5,0.02
Sept,M,12.5,9.4,38.75,0.02
Sept,M,12.6,9.6,39.8,0.01
Sept,M,15,10.5,60.17,0.02
Sept,M,15.1,11.6,60.08,0.04
Sept,M,15.4,11.6,57.55,0.04
Sept,M,13.4,10.2,45.03,0.07
Sept,M,13,10,44.29,0.01
Sept,M,14,10.9,55.44,0.01
Sept,M,12.4,9.2,35.97,0.01
Sept,M,13.7,10.5,50.2,0.02
Sept,M,15.2,11.2,60.08,0.02
